id	summary	status	type	priority	milestone	component
43	Dev access for Ting Chen	assigned	task	major	--	Gatekeeping
28	PHP Session Data on Server	reopened	defect	critical	--	General
1	Crossword league tables	assigned	enhancement	major		Crosswords
2	Disallow crossword winning by anybody with access to crossword / office	new	defect	major		Crosswords
8	Crossword publishing and expiry safety	new	defect	major	--	Crosswords
12	Crossword date based navigation	new	enhancement	major	--	Crosswords
30	Crossword winners shown with time of completion since publication	new	enhancement	major	--	Crosswords
32	Get crosswords added to facebook app	new	functionality	major	--	Facebook App
36	crossword selection green in ie6	new	browser incompatibility	major	--	Crosswords
40	Gamezone should link to crosswords section	new	enhancement	major	--	Gamezone
44	Create anonymised database for tags CS project	new	task	major	--	Gatekeeping
59	Trust based organisation event submission	new	enhancement	major	Freshers 2009	Calendar
60	reading events from ical with caching	new	functionality	major	Freshers 2009	Calendar
61	calendar subscription to calendar	new	enhancement	major	Freshers 2009	Calendar
62	calendar event image upload	new	enhancement	major	Freshers 2009	Calendar
63	exporting of ical calendars	new	functionality	major	Freshers 2009	Calendar
64	calendar feed export	new	functionality	major	Freshers 2009	Calendar
65	improve useability of calendar	new	defect	major	Freshers 2009	Calendar
66	Non what's on calendars	new	enhancement	major	Freshers 2009	Calendar
67	allow organisations to have their own what's on / private calendars pages	new	functionality	major	Freshers 2009	Calendar
69	Set up jabber SRV records in DNS	new	task	major		General
3	More detailed crossword statistics	new	enhancement	minor	--	Crosswords
5	Dynamic crossword layouts	new	functionality	minor	--	Crosswords
6	Crossword grid slide down with scroll if clues are tall	new	enhancement	minor	--	Crosswords
9	Crossword category blurb	new	enhancement	minor	--	Crosswords
10	Crossword archive pagination	new	enhancement	minor	--	Crosswords
11	Show info about how much of each crossword the user has done	new	enhancement	minor	--	Crosswords
13	Store default pages data in XML in repository	new	functionality	minor	--	Pages System
17	Filter to show only expired crosswords (inc feed)	new	functionality	minor	--	Crosswords
31	Investigate difficulty of having crosswords as facebook app	new	task	minor	--	Crosswords
34	Crossword office permit writer/editor workflow	new	functionality	minor	--	Crosswords
39	Facebook style IRC chat bar for office users	new	functionality	trivial	--	IRC Client
37	Office navigation	new	defect	critical	--	Office General
41	Public navigation after redesign	assigned	defect	critical	--	General
55	Directors Meeting Minutes	new	task	critical		General
38	Homepage redesign broken in firefox 2	new	browser incompatibility	major	--	Home Pages
51	Google apps chat doesn't work with outside servers	new	defect	major	--	Gatekeeping
53	Inserting photos from Gallery in IE	new	defect	major	--	Gallery
56	Style Guide in Home Tab	new	task	major		General
58	Photo Stream	new	task	minor		Server Admin
29	Missing Images	new	defect	trivial	--	General
33	Facebook app icon doesn't match new favicon	new	defect	trivial	--	Facebook App
57	Contact Bookboon Guy	new	task	blocker		General
68	Interface for changing email address	new	functionality	major		My account
14	Abstract feeds under general interface	new	refactor	minor	--	Feeds
15	Atom feed backend	new	functionality	minor	--	Feeds
16	Git branch autopushing to *.dev.theyorker.co.uk	new	functionality	minor	--	Gatekeeping
